Region,Mun_City,Barangay,Bgy_Old names,"Urban / Rural
(based on 2020 CPH)",2020 Census Popn
Region VII (Central Visayas),Balamban,Arpili,,U,6977
Region VII (Central Visayas),Balamban,Bayong,,R,1063
Region VII (Central Visayas),Balamban,Biasong,,R,2207
Region VII (Central Visayas),Balamban,Buanoy,,U,14093
Region VII (Central Visayas),Balamban,Cabagdalan,,R,906
Region VII (Central Visayas),Balamban,Cabasiangan,,R,1499
Region VII (Central Visayas),Balamban,Cambuhawe,,R,3760
Region VII (Central Visayas),Balamban,Cansomoroy,,R,2049
Region VII (Central Visayas),Balamban,Cantibas,,R,1623
Region VII (Central Visayas),Balamban,Cantuod,,R,4986
Region VII (Central Visayas),Balamban,Duangan,,R,1186
Region VII (Central Visayas),Balamban,Gaas,,R,3240
Region VII (Central Visayas),Balamban,Ginatilan,,R,1467
Region VII (Central Visayas),Balamban,Hingatmonan,,R,1393
Region VII (Central Visayas),Balamban,Lamesa,,R,2009
Region VII (Central Visayas),Balamban,Liki,,R,1246
Region VII (Central Visayas),Balamban,Luca,,R,1181
Region VII (Central Visayas),Balamban,Matun-og,,R,915
Region VII (Central Visayas),Balamban,Nangka,,U,7237
Region VII (Central Visayas),Balamban,Pondol,,U,10250
Region VII (Central Visayas),Balamban,Prenza,,R,3542
Region VII (Central Visayas),Balamban,Singsing,,R,1942
Region VII (Central Visayas),Balamban,Sunog,,R,1347
Region VII (Central Visayas),Balamban,Vito,,R,1869
Region VII (Central Visayas),Balamban,Baliwagan ,,U,6141
Region VII (Central Visayas),Balamban,Santa Cruz-Santo Niño ,,U,2035
Region VII (Central Visayas),Bantayan,Atop-atop,,R,3671
Region VII (Central Visayas),Bantayan,Baigad,,R,1612
Region VII (Central Visayas),Bantayan,Baod,,R,3290
Region VII (Central Visayas),Bantayan,Binaobao ,,U,2689
Region VII (Central Visayas),Bantayan,Botigues,,R,2959
Region VII (Central Visayas),Bantayan,Kabac,,U,5487
Region VII (Central Visayas),Bantayan,Doong,,R,2922
Region VII (Central Visayas),Bantayan,Hilotongan,,R,2535
Region VII (Central Visayas),Bantayan,Guiwanon,,R,3003
Region VII (Central Visayas),Bantayan,Kabangbang,,R,2321
Region VII (Central Visayas),Bantayan,Kampingganon,,R,1108
Region VII (Central Visayas),Bantayan,Kangkaibe,,R,2631
Region VII (Central Visayas),Bantayan,Lipayran,,R,3835
Region VII (Central Visayas),Bantayan,Luyongbaybay,,R,1607
Region VII (Central Visayas),Bantayan,Mojon,,R,3218
Region VII (Central Visayas),Bantayan,Obo-ob,,R,2353
Region VII (Central Visayas),Bantayan,Patao,,U,5963
Region VII (Central Visayas),Bantayan,Putian,,R,1504
Region VII (Central Visayas),Bantayan,Sillon,,R,4679
Region VII (Central Visayas),Bantayan,Sungko,,R,3780
Region VII (Central Visayas),Bantayan,Suba ,,U,3225
Region VII (Central Visayas),Bantayan,Sulangan,,U,6022
Region VII (Central Visayas),Bantayan,Tamiao,,R,2311
Region VII (Central Visayas),Bantayan,Bantigue ,,U,5777
Region VII (Central Visayas),Bantayan,Ticad ,,U,7745
Region VII (Central Visayas),Barili,Azucena,,R,2216
Region VII (Central Visayas),Barili,Bagakay,,R,1011
Region VII (Central Visayas),Barili,Balao,,R,2871
Region VII (Central Visayas),Barili,Bolocboloc,,R,2287
Region VII (Central Visayas),Barili,Budbud,,R,1846
Region VII (Central Visayas),Barili,Bugtong Kawayan,,R,735
Region VII (Central Visayas),Barili,Cabcaban,,R,2014
Region VII (Central Visayas),Barili,Campangga,,R,1609
Region VII (Central Visayas),Barili,Dakit,,R,2131
Region VII (Central Visayas),Barili,Giloctog,,R,1643
Region VII (Central Visayas),Barili,Guibuangan,,R,2594
Region VII (Central Visayas),Barili,Giwanon,,R,2055
Region VII (Central Visayas),Barili,Gunting,,R,3216
Region VII (Central Visayas),Barili,Hilasgasan,,R,850
Region VII (Central Visayas),Barili,Japitan,,R,4258
Region VII (Central Visayas),Barili,Cagay,,R,1893
Region VII (Central Visayas),Barili,Kalubihan,,R,1526
Region VII (Central Visayas),Barili,Kangdampas,,R,1437
Region VII (Central Visayas),Barili,Candugay,,R,1918
Region VII (Central Visayas),Barili,Luhod,,R,1050
Region VII (Central Visayas),Barili,Lupo,,R,662
Region VII (Central Visayas),Barili,Luyo,,R,1086
Region VII (Central Visayas),Barili,Maghanoy,,R,1424
Region VII (Central Visayas),Barili,Maigang,,R,2282
Region VII (Central Visayas),Barili,Malolos,,R,1966
Region VII (Central Visayas),Barili,Mantalongon,,R,3013
Region VII (Central Visayas),Barili,Mantayupan,,R,2614
Region VII (Central Visayas),Barili,Mayana,,R,1182
Region VII (Central Visayas),Barili,Minolos,,R,3163
Region VII (Central Visayas),Barili,Nabunturan,,R,877
Region VII (Central Visayas),Barili,Nasipit,,R,1455
Region VII (Central Visayas),Barili,Pancil,,R,1292
Region VII (Central Visayas),Barili,Pangpang,,R,1165
Region VII (Central Visayas),Barili,Paril,,R,1205
Region VII (Central Visayas),Barili,Patupat,,R,1871
Region VII (Central Visayas),Barili,Poblacion,,U,5081
Region VII (Central Visayas),Barili,San Rafael,,R,1950
Region VII (Central Visayas),Barili,Santa Ana,,R,2405
Region VII (Central Visayas),Barili,Sayaw,,R,1071
Region VII (Central Visayas),Barili,Tal-ot,,R,2012
Region VII (Central Visayas),Barili,Tubod,,R,2487
Region VII (Central Visayas),Barili,Vito,,R,1292
Region VII (Central Visayas),City of Bogo,Cogon ,,U,2794
Region VII (Central Visayas),City of Bogo,Anonang Norte,,R,1711
Region VII (Central Visayas),City of Bogo,Anonang Sur,,R,2208
Region VII (Central Visayas),City of Bogo,Banban,,R,2795
Region VII (Central Visayas),City of Bogo,Binabag,,R,2506
Region VII (Central Visayas),City of Bogo,Bungtod ,,R,2736
Region VII (Central Visayas),City of Bogo,Carbon ,,U,277
Region VII (Central Visayas),City of Bogo,Cayang,,U,5127
Region VII (Central Visayas),City of Bogo,Dakit,,U,6403
Region VII (Central Visayas),City of Bogo,Don Pedro Rodriguez,,U,4120
Region VII (Central Visayas),City of Bogo,Gairan,,U,10548
Region VII (Central Visayas),City of Bogo,Guadalupe,,R,4201
Region VII (Central Visayas),City of Bogo,La Paz,,R,4111
Region VII (Central Visayas),City of Bogo,La Purisima Concepcion ,,U,821
Region VII (Central Visayas),City of Bogo,Libertad,,R,4775
Region VII (Central Visayas),City of Bogo,Lourdes ,,U,354
Region VII (Central Visayas),City of Bogo,Malingin,,U,3280
Region VII (Central Visayas),City of Bogo,Marangog,,R,2582
Region VII (Central Visayas),City of Bogo,Nailon,,U,6758
Region VII (Central Visayas),City of Bogo,Odlot,,R,2814
Region VII (Central Visayas),City of Bogo,Pandan,Pandan Heights,R,1877
Region VII (Central Visayas),City of Bogo,Polambato,,R,4332
Region VII (Central Visayas),City of Bogo,Sambag ,,U,1676
Region VII (Central Visayas),City of Bogo,San Vicente ,,U,357
Region VII (Central Visayas),City of Bogo,Santo Niño,,U,894
Region VII (Central Visayas),City of Bogo,Santo Rosario ,,U,1210
Region VII (Central Visayas),City of Bogo,Siocon,,R,1893
Region VII (Central Visayas),City of Bogo,Taytayan,,R,4784
Region VII (Central Visayas),City of Bogo,Sudlonon,,R,923
Region VII (Central Visayas),Boljoon,Baclayan,,R,503
Region VII (Central Visayas),Boljoon,El Pardo,,R,3483
Region VII (Central Visayas),Boljoon,Granada,,R,1484
Region VII (Central Visayas),Boljoon,Lower Becerril,,R,1563
Region VII (Central Visayas),Boljoon,Poblacion,,R,4169
Region VII (Central Visayas),Boljoon,San Antonio,,R,1039
Region VII (Central Visayas),Boljoon,Upper Becerril,,R,1435
Region VII (Central Visayas),Boljoon,Arbor,,R,1235
Region VII (Central Visayas),Boljoon,Lunop,,R,984
Region VII (Central Visayas),Boljoon,Nangka,,R,689
Region VII (Central Visayas),Boljoon,South Granada,,R,941
Region VII (Central Visayas),Borbon,Bagacay,,R,656
Region VII (Central Visayas),Borbon,Bili,,R,815
Region VII (Central Visayas),Borbon,Bingay,,R,1251
Region VII (Central Visayas),Borbon,Bongdo,,R,1640
Region VII (Central Visayas),Borbon,Bongdo Gua,,R,1112
Region VII (Central Visayas),Borbon,Bongoyan,,R,1675
Region VII (Central Visayas),Borbon,Cadaruhan,,R,4780
Region VII (Central Visayas),Borbon,Cajel,,R,1543
Region VII (Central Visayas),Borbon,Campusong,,R,2360
Region VII (Central Visayas),Borbon,Clavera,,R,1889
Region VII (Central Visayas),Borbon,Don Gregorio Antigua,Taytayan,R,3981
Region VII (Central Visayas),Borbon,Laaw,,R,1536
Region VII (Central Visayas),Borbon,Lugo,,U,3048
Region VII (Central Visayas),Borbon,Managase,,R,1509
Region VII (Central Visayas),Borbon,Poblacion,,U,5286
Region VII (Central Visayas),Borbon,Sagay,,U,1466
Region VII (Central Visayas),Borbon,San Jose,,R,739
Region VII (Central Visayas),Borbon,Tabunan,,R,1846
Region VII (Central Visayas),Borbon,Tagnucan,,R,1055
Region VII (Central Visayas),City of Carcar,Bolinawan,,U,13499
Region VII (Central Visayas),City of Carcar,Buenavista,,R,3664
Region VII (Central Visayas),City of Carcar,Calidngan,,R,3882
Region VII (Central Visayas),City of Carcar,Can-asujan,,U,10870
Region VII (Central Visayas),City of Carcar,Guadalupe,,U,15064
Region VII (Central Visayas),City of Carcar,Liburon,,U,9245
Region VII (Central Visayas),City of Carcar,Napo,,U,7224
Region VII (Central Visayas),City of Carcar,Ocana,,U,10469
Region VII (Central Visayas),City of Carcar,Perrelos,,U,16818
Region VII (Central Visayas),City of Carcar,Valencia,,U,6037
Region VII (Central Visayas),City of Carcar,Valladolid,,U,12722
Region VII (Central Visayas),City of Carcar,Poblacion I,,U,10525
Region VII (Central Visayas),City of Carcar,Poblacion II,,U,2318
Region VII (Central Visayas),City of Carcar,Poblacion III,,U,7329
Region VII (Central Visayas),City of Carcar,Tuyom,,U,6787
Region VII (Central Visayas),Carmen,Baring,,U,5605
Region VII (Central Visayas),Carmen,Cantipay,,R,2140
Region VII (Central Visayas),Carmen,Cantumog,,U,1666
Region VII (Central Visayas),Carmen,Cantukong,,R,1665
Region VII (Central Visayas),Carmen,Caurasan,,R,1294
Region VII (Central Visayas),Carmen,Corte,,R,3038
Region VII (Central Visayas),Carmen,Dawis Norte,,R,4701
Region VII (Central Visayas),Carmen,Dawis Sur,,R,2646
Region VII (Central Visayas),Carmen,Cogon East,,R,3316
Region VII (Central Visayas),Carmen,Hagnaya,,R,2145
Region VII (Central Visayas),Carmen,Ipil,,R,2525
Region VII (Central Visayas),Carmen,Lanipga,,R,1194
Region VII (Central Visayas),Carmen,Liboron,,R,703
Region VII (Central Visayas),Carmen,Lower Natimao-an,,R,1524
Region VII (Central Visayas),Carmen,Luyang,,U,6590
Region VII (Central Visayas),Carmen,Poblacion,,U,5446
Region VII (Central Visayas),Carmen,Puente,,R,2818
Region VII (Central Visayas),Carmen,Sac-on,,R,949
Region VII (Central Visayas),Carmen,Triumfo,,R,2448
Region VII (Central Visayas),Carmen,Upper Natimao-an,,R,2790
Region VII (Central Visayas),Carmen,Cogon West,,U,2694
Region VII (Central Visayas),Catmon,Agsuwao,,R,1127
Region VII (Central Visayas),Catmon,Amancion,,R,191
Region VII (Central Visayas),Catmon,Anapog,,R,281
Region VII (Central Visayas),Catmon,Bactas,,R,967
Region VII (Central Visayas),Catmon,Bongyas,,R,384
Region VII (Central Visayas),Catmon,Basak,,R,1430
Region VII (Central Visayas),Catmon,Binongkalan,,R,1814
Region VII (Central Visayas),Catmon,Cabungaan,,R,1574
Region VII (Central Visayas),Catmon,Cambangkaya,,R,888
Region VII (Central Visayas),Catmon,Can-ibuang,,R,489
Region VII (Central Visayas),Catmon,Catmondaan,,R,3347
Region VII (Central Visayas),Catmon,Duyan,,R,700
Region VII (Central Visayas),Catmon,Ginabucan,,R,941
Region VII (Central Visayas),Catmon,Macaas,,R,3532
Region VII (Central Visayas),Catmon,Panalipan,,R,4077
Region VII (Central Visayas),Catmon,Tabili,,R,840
Region VII (Central Visayas),Catmon,Tinabyonan,,R,805
Region VII (Central Visayas),Catmon,San Jose Pob.,Catadman,R,3761
Region VII (Central Visayas),Catmon,Corazon ,,R,3215
Region VII (Central Visayas),Catmon,Flores ,,R,3382
Region VII (Central Visayas),City of Cebu ,Adlaon,,R,4413
Region VII (Central Visayas),City of Cebu ,Agsungot,,R,2772
Region VII (Central Visayas),City of Cebu ,Apas,,U,24194
Region VII (Central Visayas),City of Cebu ,Babag,,U,5945
Region VII (Central Visayas),City of Cebu ,Basak Pardo,,U,17854
Region VII (Central Visayas),City of Cebu ,Bacayan,,U,14460
Region VII (Central Visayas),City of Cebu ,Banilad,,U,6336
Region VII (Central Visayas),City of Cebu ,Basak San Nicolas,,U,38965
Region VII (Central Visayas),City of Cebu ,Binaliw,,R,3493
Region VII (Central Visayas),City of Cebu ,Bonbon,,U,6108
Region VII (Central Visayas),City of Cebu ,Budla-an ,,U,8756
Region VII (Central Visayas),City of Cebu ,Buhisan,,U,19088
Region VII (Central Visayas),City of Cebu ,Bulacao,,U,28675
Region VII (Central Visayas),City of Cebu ,Buot-Taup Pardo,,R,2927
Region VII (Central Visayas),City of Cebu ,Busay ,,U,17145
Region VII (Central Visayas),City of Cebu ,Calamba,,U,9834
Region VII (Central Visayas),City of Cebu ,Cambinocot,,R,3424
Region VII (Central Visayas),City of Cebu ,Capitol Site ,,U,12604
Region VII (Central Visayas),City of Cebu ,Carreta,,U,11398
Region VII (Central Visayas),City of Cebu ,Central ,,U,781
Region VII (Central Visayas),City of Cebu ,Cogon Ramos ,,U,2693
Region VII (Central Visayas),City of Cebu ,Cogon Pardo,,U,23828
Region VII (Central Visayas),City of Cebu ,Day-as,,U,3815
Region VII (Central Visayas),City of Cebu ,Duljo ,,U,15851
Region VII (Central Visayas),City of Cebu ,Ermita ,,U,8541
Region VII (Central Visayas),City of Cebu ,Guadalupe,,U,70039
Region VII (Central Visayas),City of Cebu ,Guba,,U,5732
Region VII (Central Visayas),City of Cebu ,Hippodromo,,U,9574
Region VII (Central Visayas),City of Cebu ,Inayawan,,U,32675
Region VII (Central Visayas),City of Cebu ,Kalubihan ,,U,663
Region VII (Central Visayas),City of Cebu ,Kalunasan,,U,28230
Region VII (Central Visayas),City of Cebu ,Kamagayan ,,U,2004
Region VII (Central Visayas),City of Cebu ,Camputhaw ,,U,17664
Region VII (Central Visayas),City of Cebu ,Kasambagan,,U,7967
Region VII (Central Visayas),City of Cebu ,Kinasang-an Pardo,,U,18756
Region VII (Central Visayas),City of Cebu ,Labangon,,U,32825
Region VII (Central Visayas),City of Cebu ,Lahug ,,U,45853
Region VII (Central Visayas),City of Cebu ,Lorega,Lorega San Miguel,U,12273
Region VII (Central Visayas),City of Cebu ,Lusaran,,R,2595
Region VII (Central Visayas),City of Cebu ,Luz,,U,16175
Region VII (Central Visayas),City of Cebu ,Mabini,,R,2307
Region VII (Central Visayas),City of Cebu ,Mabolo,,U,21616
Region VII (Central Visayas),City of Cebu ,Malubog,,R,3316
Region VII (Central Visayas),City of Cebu ,Mambaling,,U,30459
Region VII (Central Visayas),City of Cebu ,Pahina Central ,,U,5639
Region VII (Central Visayas),City of Cebu ,Pahina San Nicolas,,U,2743
Region VII (Central Visayas),City of Cebu ,Pamutan,,R,1773
Region VII (Central Visayas),City of Cebu ,Pardo ,,U,12016
Region VII (Central Visayas),City of Cebu ,Pari-an,,U,1058
Region VII (Central Visayas),City of Cebu ,Paril,,R,1847
Region VII (Central Visayas),City of Cebu ,Pasil,,U,8395
Region VII (Central Visayas),City of Cebu ,Pit-os,,U,7752
Region VII (Central Visayas),City of Cebu ,Pulangbato,,U,8037
Region VII (Central Visayas),City of Cebu ,Pung-ol-Sibugay,,R,2333
Region VII (Central Visayas),City of Cebu ,Punta Princesa,,U,22658
Region VII (Central Visayas),City of Cebu ,Quiot Pardo,,U,27984
Region VII (Central Visayas),City of Cebu ,Sambag I ,,U,11526
Region VII (Central Visayas),City of Cebu ,Sambag II ,,U,12173
Region VII (Central Visayas),City of Cebu ,San Antonio ,,U,2060
Region VII (Central Visayas),City of Cebu ,San Jose,,U,8027
Region VII (Central Visayas),City of Cebu ,San Nicolas Central,,U,5327
Region VII (Central Visayas),City of Cebu ,San Roque,Ciudad,U,3617
Region VII (Central Visayas),City of Cebu ,Santa Cruz ,,U,2105
Region VII (Central Visayas),City of Cebu ,Sawang Calero ,,U,7676
Region VII (Central Visayas),City of Cebu ,Sinsin,,R,2578
Region VII (Central Visayas),City of Cebu ,Sirao,,R,3647
Region VII (Central Visayas),City of Cebu ,Suba Pob.,Suba San Nicolas,U,10606
Region VII (Central Visayas),City of Cebu ,Sudlon I,,R,3273
Region VII (Central Visayas),City of Cebu ,Sapangdaku,,U,8214
Region VII (Central Visayas),City of Cebu ,T. Padilla,,U,6719
Region VII (Central Visayas),City of Cebu ,Tabunan,,R,2270
Region VII (Central Visayas),City of Cebu ,Tagbao,,R,1744
Region VII (Central Visayas),City of Cebu ,Talamban,,U,33382
Region VII (Central Visayas),City of Cebu ,Taptap,,R,2484
Region VII (Central Visayas),City of Cebu ,Tejero,Villa Gonzalo,U,14084
Region VII (Central Visayas),City of Cebu ,Tinago,,U,6700
Region VII (Central Visayas),City of Cebu ,Tisa,,U,47364
Region VII (Central Visayas),City of Cebu ,To-ong Pardo,,R,4549
Region VII (Central Visayas),City of Cebu ,Zapatera,,U,2957
Region VII (Central Visayas),City of Cebu ,Sudlon II,,R,4229
Region VII (Central Visayas),Compostela,Bagalnga,,R,3127
Region VII (Central Visayas),Compostela,Basak,,R,2059
Region VII (Central Visayas),Compostela,Buluang,,R,1609
Region VII (Central Visayas),Compostela,Cabadiangan,,R,2158
Region VII (Central Visayas),Compostela,Cambayog,,R,1361
Region VII (Central Visayas),Compostela,Canamucan,,U,4976
Region VII (Central Visayas),Compostela,Cogon,,U,7975
Region VII (Central Visayas),Compostela,Dapdap,,R,1498
Region VII (Central Visayas),Compostela,Estaca,,U,7231
Region VII (Central Visayas),Compostela,Lupa,,R,1053
Region VII (Central Visayas),Compostela,Magay,,R,3792
Region VII (Central Visayas),Compostela,Mulao,,R,1692
Region VII (Central Visayas),Compostela,Panangban,,R,1073
Region VII (Central Visayas),Compostela,Poblacion,,U,12573
Region VII (Central Visayas),Compostela,Tag-ube,,R,1523
Region VII (Central Visayas),Compostela,Tamiao,,R,1476
Region VII (Central Visayas),Compostela,Tubigan,,R,698
Region VII (Central Visayas),Consolacion,Cabangahan,,R,3053
Region VII (Central Visayas),Consolacion,Cansaga,,U,6504
Region VII (Central Visayas),Consolacion,Casili,,U,18601
Region VII (Central Visayas),Consolacion,Danglag,,R,4513
Region VII (Central Visayas),Consolacion,Garing,,R,3431
Region VII (Central Visayas),Consolacion,Jugan,,U,12774
Region VII (Central Visayas),Consolacion,Lamac,,U,11221
Region VII (Central Visayas),Consolacion,Lanipga,,R,902
Region VII (Central Visayas),Consolacion,Nangka,,U,13013
Region VII (Central Visayas),Consolacion,Panas,,R,1341
Region VII (Central Visayas),Consolacion,Panoypoy,,R,1339
Region VII (Central Visayas),Consolacion,Pitogo,,U,4295
Region VII (Central Visayas),Consolacion,Poblacion Occidental,,U,5988
Region VII (Central Visayas),Consolacion,Poblacion Oriental,,U,3147
Region VII (Central Visayas),Consolacion,Polog,,R,2601
Region VII (Central Visayas),Consolacion,Pulpogan,,U,14700
Region VII (Central Visayas),Consolacion,Sacsac,,R,2468
Region VII (Central Visayas),Consolacion,Tayud,,U,23208
Region VII (Central Visayas),Consolacion,Tilhaong,,U,2171
Region VII (Central Visayas),Consolacion,Tolotolo,,R,4072
Region VII (Central Visayas),Consolacion,Tugbongan,,U,8670
Region VII (Central Visayas),Cordova,Alegria,,R,4461
Region VII (Central Visayas),Cordova,Bangbang,,U,6554
Region VII (Central Visayas),Cordova,Buagsong,,U,5733
Region VII (Central Visayas),Cordova,Catarman,,U,5844
Region VII (Central Visayas),Cordova,Cogon,,R,2914
Region VII (Central Visayas),Cordova,Dapitan,,R,3386
Region VII (Central Visayas),Cordova,Day-as,,R,4892
Region VII (Central Visayas),Cordova,Gabi,,U,6140
Region VII (Central Visayas),Cordova,Gilutongan,,R,1606
Region VII (Central Visayas),Cordova,Ibabao,,U,10227
Region VII (Central Visayas),Cordova,Pilipog,,U,4660
Region VII (Central Visayas),Cordova,Poblacion,,U,10163
Region VII (Central Visayas),Cordova,San Miguel,,R,4015
Region VII (Central Visayas),Daanbantayan,Aguho,,U,5992
Region VII (Central Visayas),Daanbantayan,Bagay,,U,5151
Region VII (Central Visayas),Daanbantayan,Bakhawan,,R,3074
Region VII (Central Visayas),Daanbantayan,Bateria,,R,3865
Region VII (Central Visayas),Daanbantayan,Bitoon,,U,5267
Region VII (Central Visayas),Daanbantayan,Calape,,R,3218
Region VII (Central Visayas),Daanbantayan,Carnaza,,R,2471
Region VII (Central Visayas),Daanbantayan,Dalingding,,R,2027
Region VII (Central Visayas),Daanbantayan,Lanao,,R,4259
Region VII (Central Visayas),Daanbantayan,Logon,,U,6257
Region VII (Central Visayas),Daanbantayan,Malbago,,R,4661
Region VII (Central Visayas),Daanbantayan,Malingin,,R,1804
Region VII (Central Visayas),Daanbantayan,Maya,,U,9804
Region VII (Central Visayas),Daanbantayan,Pajo,,R,4453
Region VII (Central Visayas),Daanbantayan,Paypay,,R,3305
Region VII (Central Visayas),Daanbantayan,Poblacion,,U,8402
Region VII (Central Visayas),Daanbantayan,Talisay,,R,4377
Region VII (Central Visayas),Daanbantayan,Tapilon,,U,8843
Region VII (Central Visayas),Daanbantayan,Tinubdan,,R,1920
Region VII (Central Visayas),Daanbantayan,Tominjao,,R,4352
Region VII (Central Visayas),Dalaguete,Ablayan,,R,1318
Region VII (Central Visayas),Dalaguete,Babayongan,,R,493
Region VII (Central Visayas),Dalaguete,Balud,,R,3673
Region VII (Central Visayas),Dalaguete,Banhigan,,R,1269
Region VII (Central Visayas),Dalaguete,Bulak,,R,988
Region VII (Central Visayas),Dalaguete,Caliongan,,R,2649
Region VII (Central Visayas),Dalaguete,Caleriohan,,R,2557
Region VII (Central Visayas),Dalaguete,Casay,,R,4681
Region VII (Central Visayas),Dalaguete,Catolohan,,R,2464
Region VII (Central Visayas),Dalaguete,Cawayan,,R,2957
Region VII (Central Visayas),Dalaguete,Consolacion,,R,2120
Region VII (Central Visayas),Dalaguete,Coro,,R,1320
Region VII (Central Visayas),Dalaguete,Dugyan,,R,1055
Region VII (Central Visayas),Dalaguete,Dumalan,,R,2002
Region VII (Central Visayas),Dalaguete,Jolomaynon,,R,1629
Region VII (Central Visayas),Dalaguete,Lanao,,R,1219
Region VII (Central Visayas),Dalaguete,Langkas,,R,1480
Region VII (Central Visayas),Dalaguete,Lumbang,,R,863
Region VII (Central Visayas),Dalaguete,Malones,,R,1253
Region VII (Central Visayas),Dalaguete,Maloray,,R,1007
Region VII (Central Visayas),Dalaguete,Mananggal,,R,983
Region VII (Central Visayas),Dalaguete,Manlapay,,R,1956
Region VII (Central Visayas),Dalaguete,Mantalongon,,U,7237
Region VII (Central Visayas),Dalaguete,Nalhub,,R,1980
Region VII (Central Visayas),Dalaguete,Obo,,R,1609
Region VII (Central Visayas),Dalaguete,Obong,,R,3212
Region VII (Central Visayas),Dalaguete,Panas,,R,938
Region VII (Central Visayas),Dalaguete,Poblacion,,U,6695
Region VII (Central Visayas),Dalaguete,Sacsac,,R,1995
Region VII (Central Visayas),Dalaguete,Tapun,,R,4738
Region VII (Central Visayas),Dalaguete,Tuba,,R,1497
Region VII (Central Visayas),Dalaguete,Salug,,R,1323
Region VII (Central Visayas),Dalaguete,Tabon,,R,3436
Region VII (Central Visayas),Danao City,Baliang,,R,2251
Region VII (Central Visayas),Danao City,Bayabas,,R,672
Region VII (Central Visayas),Danao City,Binaliw,,R,3140
Region VII (Central Visayas),Danao City,Cabungahan,,R,2557
Region VII (Central Visayas),Danao City,Cagat-Lamac,,R,1392
Region VII (Central Visayas),Danao City,Cahumayan,,R,4589
Region VII (Central Visayas),Danao City,Cambanay,,R,4320
Region VII (Central Visayas),Danao City,Cambubho,,R,694
Region VII (Central Visayas),Danao City,Cogon-Cruz,,U,5116
Region VII (Central Visayas),Danao City,Danasan,,R,1442
Region VII (Central Visayas),Danao City,Dungga,,R,1129
Region VII (Central Visayas),Danao City,Dunggoan,,U,7313
Region VII (Central Visayas),Danao City,Guinacot,,U,5844
Region VII (Central Visayas),Danao City,Guinsay,,U,10394
Region VII (Central Visayas),Danao City,Ibo,,R,1270
Region VII (Central Visayas),Danao City,Langosig,,R,831
Region VII (Central Visayas),Danao City,Lawaan,,R,1595
Region VII (Central Visayas),Danao City,Licos,,R,2109
Region VII (Central Visayas),Danao City,Looc,,U,12074
Region VII (Central Visayas),Danao City,Magtagobtob,,R,470
Region VII (Central Visayas),Danao City,Malapoc,,R,1591
Region VII (Central Visayas),Danao City,Manlayag,,R,1808
Region VII (Central Visayas),Danao City,Mantija,,R,1605
Region VII (Central Visayas),Danao City,Masaba,,R,3343
Region VII (Central Visayas),Danao City,Maslog,,U,11898
Region VII (Central Visayas),Danao City,Nangka,,R,523
Region VII (Central Visayas),Danao City,Oguis,,R,651
Region VII (Central Visayas),Danao City,Pili,,R,856
Region VII (Central Visayas),Danao City,Poblacion,,U,9709
Region VII (Central Visayas),Danao City,Quisol,,R,1618
Region VII (Central Visayas),Danao City,Sabang,,U,16150
Region VII (Central Visayas),Danao City,Sacsac,,R,687
Region VII (Central Visayas),Danao City,Sandayong Norte,,R,1385
Region VII (Central Visayas),Danao City,Sandayong Sur,,R,3296
Region VII (Central Visayas),Danao City,Santa Rosa,,R,1572
Region VII (Central Visayas),Danao City,Santican,,R,961
Region VII (Central Visayas),Danao City,Sibacan,,R,585
Region VII (Central Visayas),Danao City,Suba,,U,7618
Region VII (Central Visayas),Danao City,Taboc,,U,6978
Region VII (Central Visayas),Danao City,Taytay,,R,4639
Region VII (Central Visayas),Danao City,Togonon,,R,1664
Region VII (Central Visayas),Danao City,Tuburan Sur,,U,7982
Region VII (Central Visayas),Dumanjug,Balaygtiki,,R,2122
Region VII (Central Visayas),Dumanjug,Bitoon,,U,3576
Region VII (Central Visayas),Dumanjug,Bulak,,R,1651
Region VII (Central Visayas),Dumanjug,Bullogan,,R,1031
Region VII (Central Visayas),Dumanjug,Doldol,,R,1969
Region VII (Central Visayas),Dumanjug,Kabalaasnan,,R,378
Region VII (Central Visayas),Dumanjug,Kabatbatan,,R,470
Region VII (Central Visayas),Dumanjug,Calaboon,,R,2334
Region VII (Central Visayas),Dumanjug,Kambanog,,R,462
Region VII (Central Visayas),Dumanjug,Camboang,,R,1250
Region VII (Central Visayas),Dumanjug,Candabong,,R,1102
Region VII (Central Visayas),Dumanjug,Kang-actol,,R,1474
Region VII (Central Visayas),Dumanjug,Kanghalo,,R,571
Region VII (Central Visayas),Dumanjug,Kanghumaod,,R,2204
Region VII (Central Visayas),Dumanjug,Kanguha,,R,720
Region VII (Central Visayas),Dumanjug,Kantangkas,,R,821
Region VII (Central Visayas),Dumanjug,Kanyuko,,R,1267
Region VII (Central Visayas),Dumanjug,Cogon,,R,3402
Region VII (Central Visayas),Dumanjug,Kolabtingon,,R,708
Region VII (Central Visayas),Dumanjug,Cotcoton,,R,550
Region VII (Central Visayas),Dumanjug,Lamak,,R,557
Region VII (Central Visayas),Dumanjug,Lawaan,,R,3025
Region VII (Central Visayas),Dumanjug,Liong,,R,2694
Region VII (Central Visayas),Dumanjug,Manlapay,,R,1231
Region VII (Central Visayas),Dumanjug,Masa,,R,724
Region VII (Central Visayas),Dumanjug,Matalao,,R,375
Region VII (Central Visayas),Dumanjug,Paculob,,R,1908
Region VII (Central Visayas),Dumanjug,Panlaan,,R,2558
